Patente;Nro Movil;Tipo de Comb;MOVIL;Modelo;Vencimiento Cedula;Días;Vencimiento Seguro;Aseguradora;VENC GAS;VTV;Telepase;TARJ YPF;Color;Ploteo;Baliza;Grabado; medidas de cubiertas;CLAVE RADIO;;;;;;;;;FORMULA
MVE291;5;Nafta;Renault Clio;2013;SIN VENCIMIENTO; ;25/8/2026;HDI;;nov-25;94193715;jul-26;Rojo;;;;165/70/13;;;;;;;;;;AMARILLO
NHK226;6;Nafta;Renault Clio;2013;1/12/2024;-326;25/8/2026;HDI;;jun-23;94196854;;Rojo;SI calcos;;SI;165/70/13;;CONDICIONADA HASTA EL 8-9-2023;;;;;;;;ROJO
MNF900;3;Nafta;Renault Clio;2013;1/12/2024;-326; ; ;;oct-23;99557594;;Rojo;;;;165/70/13;;;;;;;;;;ROJO
MNF932;4;GNC;Renault Clio;2013;1/12/2023;-692;25/8/2026;HDI;;feb-24;94970806;;Rojo;SI;SI;SI;165/70/13;;;;;;;;;;ROJO
NOU018;7;Nafta;Renault Clio;2014;16/12/2024;-311;25/8/2026;HDI;;ago-24;94193945;;Rojo;;;SI;165/70/13;;;;;;;;;;ROJO
NSA764;8;Nafta;Renault Clio;2014;1/12/2024;-326;25/8/2026;HDI;;abr-26;90994935;;Rojo;;;;165/70/13;;;;;;;;;;NADA
NSA765;9;Nafta;Renault Clio;2014;1/12/2023;-692; ; ;;may-24;94220846;;Rojo;SI calcos;;;165/70/13;;CONDICIONADA HASTA EL 27-8-2023;;;;;;;;ROJO
NXI181;10;Nafta;Renault Clio;2014;15/12/2024;-312;25/8/2026;HDI;;nov-23;94223566;;Rojo;;;;165/70/13;;;;;;;;;;ROJO
NXI182;11;GNC;Renault Clio;2014;15/12/2024;-312;25/8/2026;HDI;;feb-24;94220803;;Rojo;SI calcos;;;165/70/13;;;;;;;;;;ROJO
NXI188;12;GNC;Renault Clio;2014;15/12/2024;-312;25/8/2026;HDI;;ago-26;98537851;;Rojo;SI calcos;;;165/70/13;;;;;;;;;;NADA
AB934RE;19;GNC;Renault Kangoo;2017;4/9/2024;-414;25/8/2026;HDI;;abr-26;94846691;;Blanco;SI;NO;;175/65/14;;;;;;;;;;NADA
AA909VM;16;Nafta;Renault Oroch;2017;1/12/2024;-326;25/8/2026;HDI;;sept-24;94443692;;Blanco;SI;SI;;215/65/16;1990-6;;;;;;;;;ROJO
AA909VN;15;Nafta;Renault Oroch;2017;1/12/2024;-326;25/8/2026;HDI;;oct-23;94451940;;Blanco;SI calcos;SI;;215/65/16;7301-6;;;;;;;;;ROJO
AB027KG;17;GNC;Renault Oroch;2017;18/4/2025;-188; ; ;;jul-24;90309521;;Blanco;SI;;;215/65/16;5269-6;;;;;;;;;ROJO
AB027KF;18;GNC;Renault Oroch;2017;18/4/2025;-188;25/8/2026;HDI;jun-26;jul-26;90336861;;Blanco;SI;SI;SI;215/65/16;8810-6;;;;;;;;;NADA
AC515JI;22;GNC;Renault Kangoo;2018;19/1/2025;-277;25/8/2026;HDI;;jul-24;94428616;;Rojo;SI;;;175/65/14;;RECHAZADO VTV 21-4-23 / TIENE HASTA EL 20-8-23 PARA REVERIFICAR;;;;;;;;ROJO
AC515JH;21;GNC;Renault Kangoo;2018;19/1/2025;-277;25/8/2026;HDI;;may-24;90532260;jul-26;Rojo;SI;faros x 6;;175/65/14;;;;;;;;;;ROJO
AD503HV;24;GNC;Renault Kangoo;2018;9/2/2025;-256;25/8/2026;HDI;mar-25;mar-26;90532258;;Plateado;SI;NO;SI;175/65/14;;;;;;;;;;NADA
AE277NR;25;Nafta;Renault Kangoo;2020;18/7/2024;-462; ; ;;jul-25;94748810;;Blanco;SI;;SI;175/65/14;3550;;;;;;;;;ROJO
AE580VI;26;Nafta;Renault Kwid;2021;15/12/2024;-312;25/8/2026;HDI;;oct-25;94846691;;Crema;SI;;SI;;;;;;;;;;;NARANJA
AE626OT;27;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2021;19/1/2025;-277;25/8/2026;HDI;;jun-24;94858378;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AE626OU;28;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2021;19/1/2025;-277;25/8/2026;HDI;;jun-24;94858604;jul-26;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AE626OV;29;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2021;15/2/2024;-616; ; ;;jun-25;94858568;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AE667QX;31;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2021;22/4/2025;-184;25/8/2026;HDI;;jul-25;97150993;jul-26;Marrón;SI;SI;NO;255/70/16;;;;;;;;;;ROJO
AE667QV;30;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2021;22/4/2025;-184;25/8/2026;HDI;;jul-25;NO;;Marrón;SI;SI;NO;255/70/16;;;;;;;;;;ROJO
AE694IC;32;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2021;22/4/2025;-184;25/8/2026;HDI;;abr-24;94865774;jul-26;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AE870CP;34;Nafta;Renault Oroch;2021;27/9/2023;-757;25/8/2026;HDI;;oct-26;94922913;;Blanco;SI;SI;SI;215/65/16;2391-6;;;;;;;;;NADA
AE870CQ;35;Nafta;Renault Oroch;2021;27/9/2023;-757;25/8/2026;HDI;;oct-26;94922922;;Blanco;SI;SI;SI;215/65/16;4937-6;;;;;;;;;NADA
AE937QV;39;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2021;6/9/2024;-412;25/8/2026;HDI;;jul-25;94932258;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AE937QW;40;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2021;6/9/2024;-412;25/8/2026;HDI;;jul-25;94932259;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AE937QN;36;Nafta;Fiat Cronos;2021;6/9/2024;-412;25/8/2026;HDI;;jul-26;94932257;;Blanco;NO;NO;SI;185-60R15;;;;;;;;;;NADA
AE937QO;37;Nafta;Fiat Cronos;2021;;-45953; ; ;;jul-26;94932284;;Blanco;NO;NO;SI;185-60R15;;;;;;;;;;NADA
AE937QP;38;Nafta;Fiat Cronos;2021;4/9/2024;-414;25/8/2026;HDI;oct-25;jul-25;94932283;;Blanco;SI;SI;SI;185-60R15;;;;;;;;;;ROJO
AF047UQ;42;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2021;6/11/2024;-351;25/8/2026;HDI;;jul-25;94948515;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF047UR;43;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2021;6/11/2024;-351;25/8/2026;HDI;;jul-25;94948529;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF047UW;44;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2021;6/11/2024;-351;25/8/2026;HDI;;jul-25;94948540;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF047UX;45;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2021;6/11/2024;-351;25/8/2026;HDI;;jul-25;94948557;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF086CU;46;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2021;15/12/2024;-312;25/8/2026;HDI;;jun-25;94954373;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF138CR;47;Diesel;Renault Alaskan;2021;11/1/2024;-651; ; ;;jul-24;94970463;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF174KK;48;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;19/1/2025;-277;25/8/2026;HDI;;abr-25;94977200;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF215FN;49;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;22/4/2025;-184;25/8/2026;HDI;;may-25;94981959;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF215FO;50;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;22/4/2025;-184;25/8/2026;HDI;;may-25;94987424;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF237KR;51;Nafta;Sandero;2022;23/4/2025;-183;25/8/2026;HDI;;jul-25;94995048;;Gris Oscuro;NO;NO;SI;185/65/15;;;;;;;;;;ROJO
AF237KT;52;Nafta;Sandero;2022;15/2/2024;-616; ; ;;jul-25;94995049;;Gris Oscuro;SI;SI;SI;185/65/15;0724-6;;;;;;;;;ROJO
AF270OW;53;Nafta;Sandero;2022;18/3/2025;-219;25/8/2026;HDI;;oct-25;94999744;;Gris Oscuro;SI;SI;SI;185/65/15;;;;;;;;;;NARANJA
AF270OX;54;Nafta;Sandero;2022;18/3/2025;-219;25/8/2026;HDI;;oct-27;94999745;;Gris Oscuro;SI;NO;SI;185/65/15;9370-6;;;;;;;;;NADA
AF305MA;55;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;18/4/2025;-188;25/8/2026;HDI;;may-25;93397128;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF305MB;56;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;18/4/2025;-188;25/8/2026;HDI;;may-25;60803502;;Blanco;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF333BS;57;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;6/5/2025;-170;25/8/2026;HDI;;mar-25;99536804;;Blanca;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF333BT;58;Nafta;Sandero;2022;6/5/2025;-170;25/8/2026;HDI;;mar-26;99536815;jul-26;Blanco;SI;SI;SI;185/65/15;0969-6;;;;;;;;;NADA
AF333BU;59;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;6/5/2025;-170;25/8/2026;HDI;;mar-25;99530024;;Gris;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF333BV;60;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;6/5/2025;-170;25/8/2026;HDI;;mar-25;99538737;;Gris;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF333BW;61;Nafta;Sandero;2022;6/5/2025;-170;25/8/2026;HDI;;mar-26;97050320;;Blanco;SI;SI;SI;185/65/15;;;;;;;;;;NADA
AF421HL;62;Nafta;Sandero;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;ene-25;99549902;;Blanco;NO;NO;SI;185/65/15;;;;;;;;;;ROJO
AF421HY;63;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;ene-25;99550801;;Gris Oscuro;SI calcos;SI;SI;255/70/16;;;;;;;;;;ROJO
AF452DA;64;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;feb-25;99550802;;Gris Oscuro;NO;NO;SI;255/70/16;;;;;;;;;;ROJO
AF481OQ;;Nafta;Renault Stepway;2022;18/7/2024;-462;25/8/2026;HDI;;nov-25;99558184;;Blanco Glaciar;NO;NO;SI;;;;;;;;;;;AMARILLO
AF481OR;65;Nafta;Sandero;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;jul-25;99557532;;Blanco Glaciar;NO;NO;SI;185/65/15;;;;;;;;;;ROJO
AF481OU;66;Nafta;Sandero;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;nov-26;99557519;;Blanco Glaciar;SI;SI;SI;185/65/15;0865-6;;;;;;;;;NADA
AF481PB;67;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;ago-25;99557055;;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF481PG;68;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;ago-25;99563443;;Gris Etoile;;SI;SI;255/70/16;;;;;;;;;;ROJO
AF481PH;69;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;SIN VENCIMIENTO; ;25/8/2026;HDI;;ago-25;99563533;;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF571RX;70;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;4/9/2024;-414;25/8/2026;HDI;;sept-25;99565064;;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF571RW;71;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;4/9/2024;-414;25/8/2026;HDI;;sept-25;99565065;;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF608ZB;72;Nafta;Sandero;2022;;-45953; ; ;;sept-25;99576078;;Blanco Glaciar;calcos;SI;SI;185/65/15;;;;;;;;;;ROJO
AF608ZC;73;Nafta;Sandero;2022;6/9/2024;-412;25/8/2026;HDI;;sept-25;99574036;;Blanco Glaciar;calcos;SI;SI;185/65/15;;;;;;;;;;ROJO
AF608ZD;74;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2022;6/9/2024;-412;25/8/2026;HDI;;sept-25;99576086;;Gris Etoile;SI;SI;SI;255/70/16;;;;;;;;;;ROJO
AF757AU;76;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;15/12/2024;-312;25/8/2026;HDI;;ene-26;99623819;;Gris Etoile;SI calcos;SI;SI;255/70/16;;;;;;;;;;NADA
AF757AS;75;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;15/12/2024;-312;25/8/2026;HDI;;ene-26;99602405;;Gris Etoile;SI;SI;SI;255/70/16;;;;;;;;;;NADA
AF757AW;;Diesel;Renault Alaskan Iconit 4 WD;2023;15/12/2024;-312;25/8/2026;HDI;;ene-26;99604307;;Blanco Glaciar;;;SI;255/60/18;;;;;;;;;;NADA
AF757AT;;Diesel;Renault Alaskan Intens 4 WD;2023;15/12/2024;-312;25/8/2026;HDI;;ene-26;99590739;jul-26;Blanco Glaciar;;;SI;255/70/16;;;;;;;;;;NADA
AF757AZ;77;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;15/12/2024;-312;25/8/2026;HDI;;ene-26;99602284;;Blanco Glaciar;;SI;SI;255/70/16;;;;;;;;;;NADA
AF857HF;78;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;22/4/2025;-184;25/8/2026;HDI;;feb-26;99626415;jul-26;Blanco Glaciar;SI calcos;SI;SI;255/70/16;;;;;;;;;;NADA
AG012UT;79;Diesel;Alaskan Emotion 2.3. dCi 190  4WD;2023;6/5/2025;-170;25/8/2026;HDI;;nov-26;99669419;jul-26;Blanco Glaciar;;;SI;255/70/16;;;;;;;;;;NADA
AG012UV;80;Diesel;Alaskan Emotion 2.3. dCi 190  4WD;2023;6/5/2025;-170;25/8/2026;HDI;;nov-26;99617111;jul-26;Blanco Glaciar;;;SI;255/70/16;;;;;;;;;;NADA
AG059DG;81;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;SIN VENCIMIENTO; ;25/8/2026;HDI;;nov-26;93303900;jul-26;Blanco Glaciar;SI calcos;;SI;255/70/16;;;;;;;;;;NADA
AG059DJ;82;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;SIN VENCIMIENTO; ;24/11/2025;ZURICH;;nov-26;93303901;jul-26;Blanco Glaciar;SI calcos;;SI;255/70/16;;;;;;;;;;NADA
AG059DH;83;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;SIN VENCIMIENTO; ;24/11/2025;ZURICH;;nov-26;93303902;jul-26;Blanco Glaciar;SI calcos;;SI;255/70/16;;;;;;;;;;NADA
AG126UB;84;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;18/7/2024;-462;25/8/2026;HDI;;jul-26;99686145;jul-26;Blanco Glaciar;SI calcos;;SI;255/70/16;;;;;;;;;;NADA
AG126UC;85;Diesel;Alaskan Confort 2.3. dCi 160  2WD;2023;18/7/2024;-462;; ;;jul-26;99686087;jul-26;Blanco Glaciar;SI calcos;;SI;255/70/16;;;;;;;;;;NADA
AG126UE;86;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;SIN VENCIMIENTO; ;25/8/2026;HDI;;jul-26;PENDIENTE;jul-26;Blanco Glaciar;SI ;;SI;255/70/16;;;;;;;;;;NADA
AG196ZP;87;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;31/8/2024;-418;25/8/2026;HDI;;ago-26;99708357;jul-26;Blanco Glaciar;SI ;;SI;255/70/16;;;;;;;;;;NADA
AG196ZQ;88;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;31/8/2024;-418;25/8/2026;HDI;;ago-26;99703551;jul-26;Gris Etoile;SI ;SI;SI;255/70/16;;;;;;;;;;NADA
AG196ZR;89;Diesel;Alaskan Confort 2.3. dCi 160  2WD;2023;31/8/2024;-418;25/8/2026;HDI;;ago-26;99703552;jul-26;Blanco Glaciar;SI ;;SI;255/70/16;;;;;;;;;;NADA
AG196ZS;90;Diesel;Alaskan Confort 2.3. dCi 160  2WD;2023;31/8/2024;-418;25/8/2026;HDI;;sept-26;99708848;jul-26;Blanco Glaciar;SI ;;SI;255/70/16;;;;;;;;;;NADA
AG278OX;91;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;10/10/2024;-378;25/8/2026;HDI;;oct-26;99741892;jul-26;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;
AG278OY;92;Diesel;Alaskan Confort 2.3. dCi 160  2WD;2023;10/10/2024;-378;25/8/2026;HDI;;oct-26;99741784;jul-26;Blanco Glaciar;Calcos;SI;SI;255/70/16;;;;;;;;;;
AG278OZ;93;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;10/10/2024;-378;25/8/2026;HDI;;oct-26;99741793;jul-26;Blanco Glaciar;Calcos;;SI;255/70/16;;;;;;;;;;
AG315HB;94;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;24/10/2024;-364;25/8/2026;HDI;;oct-26;99743563;jul-26;Blanco Glaciar;SI;;SI;255/70/16;;;;;;;;;;
AG315HD;95;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;24/10/2024;-364;25/8/2026;HDI;;oct-26;99743562;jul-26;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;
AG315HG;96;Diesel;Alaskan Confort 2.3. dCi 160  2WD;2023;24/10/2024;-364;25/8/2026;HDI;;oct-26;99743426;jul-26;Blanco Glaciar;Calcos;SI;SI;255/70/16;;;;;;;;;;NADA
AG366YT;97;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;22/11/2024;-335;25/8/2026;HDI;;nov-26;99744929;jul-26;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;
AG366YU;98;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2023;22/11/2024;-335;25/8/2026;HDI;;nov-26;99744823;jul-26;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;
AG445AI;99;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2024;5/2/2025;-260;25/8/2026;HDI;;feb-27;99788926;jul-26;Blanco Glaciar;SI;SI;SI;255/70/16;;;;;;;;;;
AG445AJ;100;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2024;5/2/2025;-260;25/8/2026;HDI;;feb-27;99774826;jul-26;Blanco Glaciar;;;SI;255/70/16;;;;;;;;;;
AG705QN;101;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2024;SIN VENCIMIENTO; ;25/8/2026;HDI;;jul-27;97041299;si;Gris Etoile;NO;;SI;255/70/16;;;;;;;;;;
AG705QM;102;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2024;SIN VENCIMIENTO; ;25/8/2026;HDI;;jul-27;60802123;si;Blanco Glaciar;NO;;SI;255/70/16;;;;;;;;;;
AG705QQ;103;Diesel;Alaskan Confort 2.3. dCi 160  4WD;2024;SIN VENCIMIENTO; ;25/8/2026;HDI;;jul-27;99841314;si;Gris Etoile;NO;;SI;255/70/16;;;;;;;;;;
