Patente;Nro;FECHA;Kms.;MOTIVO;DESCRIPCIÓN;LUGAR;FACTURA Nro.;FECHA DE PAGO;MONTO;OBSERVACIONES;
AF237KR;108;22/1/2025;40.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002440;12/3/2025;$ 338.168,00;;
AG278OX;109;21/1/2025;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002439;12/3/2025;$ 620.888,00;;
AA909VM;110;18/1/2025;112.000;SERVICIO;REPARACION DE CAÑO DE A/A;RENAULT - LOMAS;0045-00002434;12/3/2025;;;
AF086CU;111;16/1/2025;140.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002548;12/5/2025;$ 445.467,14;;
AF333BU;112;14/1/2025;160.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 160.000 KM ;RENAULT - LOMAS;0045-00002427;12/3/2025;$ 485.220,02;;
AF452DA;113;13/1/2025;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002428;12/3/2025;$ 620.888,05;;
AG278OZ;114;13/1/2025;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002430;12/3/2025;$ 620.888,00;;
AF481PB;115;6/1/2025;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002413;12/3/2025;$ 620.888,00;;
AF481OU;116;3/1/2025;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002412;12/3/2025;$ 277.204,01;;
AF047UX;117;31/12/2024;100.900;SERVICIO;REPARACION DE A/A;RENAULT - LOMAS;0045-00002406;7/2/2025;;;
AG059DJ;118;26/12/2024;120.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002404;7/2/2025;$ 613.764,01;;
AF571RX;119;23/12/2024;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002400;7/2/2025;$ 613.764,01;;
AG315HG;120;23/12/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002398;7/2/2025;$ 403.479,99;;
AG445AI;121;11/12/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002388;7/2/2025;$ 354.424,02;;
AF047UR;122;10/12/2024;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002387;7/2/2025;$ 354.424,00;;
AF481PH;123;9/12/2024;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002385;7/2/2025;$ 354.424,00;;
AF757AU;124;5/12/2024;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002381;7/2/2025;$ 613.764,01;;
AF047UQ;125;3/12/2024;160.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 160.000 KM ;RENAULT - LOMAS;0045-00002378;7/2/2025;$ 390.272,00;;
AF047UX;126;3/12/2024;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002373;7/2/2025;$ 390.272,00;;
AF857HF;127;3/12/2024;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002376;7/2/2025;$ 613.764,01;;
AG315HD;128;2/12/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002372;7/2/2025;$ 390.272,00;;
AG278OY;129;29/11/2024;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002366;30/12/2024;$ 388.184,00;;
AG366YT;130;28/11/2024;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002367;30/12/2024;$ 388.184,00;;
AG196ZQ;131;28/11/2024;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002368;30/12/2024;$ 602.552,02;;
AG196ZP;132;27/11/2024;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002359;30/12/2024;$ 602.552,02;;
AG315HB;133;27/11/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002358;30/12/2024;$ 388.184,00;;
AF047UX;134;26/11/2024;95.000;SERVICIO;REPARACION SINIESTRO 739234;RENAULT - LOMAS;0019-00002709;30/12/2024;$ 480.000,02;;
AF305MA;135;26/11/2024;140.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002365;30/12/2024;$ 388.184,00;;
AG366YU;136;25/11/2024;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002354;30/12/2024;$ 602.552,02;;
AF757AZ;137;25/11/2024;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002353;30/12/2024;$ 388.184,00;;
AF333BT;138;24/11/2024;70.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 70.000 KM ;RENAULT - LOMAS;0045-00002347;30/12/2024;$ 166.040,06;;
AG059DG;139;22/11/2024;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002352;30/12/2024;$ 388.184,00;;
AF333BT;140;20/11/2024;70.000;SERVICIO;REPARACION SINIESTRO  738130;RENAULT - LOMAS;0019-00002702;30/12/2024;$ 260.000,00;;
AF333BW;141;20/11/2024;70.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 70.000 KM ;RENAULT - LOMAS;0045-00002332;30/12/2024;$ 166.040,00;;
AF608ZD;142;12/11/2024;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002318;30/12/2024;$ 388.184,00;;
AF421HL;143;11/11/2024;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002319;30/12/2024;$ 260.623,99;;
AF757AS;144;2/11/2024;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002300;30/12/2024;$ 499.144,00;;
AG278OZ;145;31/10/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002295;25/11/2024;$ 377.060,01;;
AF270OX;146;30/10/2024;50.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 50.000 KM ;RENAULT - LOMAS;0045-00002286;25/11/2024;$ 166.040,06;;
AG278OX;147;29/10/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002287;25/11/2024;$ 377.059,99;;
AF047UW;148;25/10/2024;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002275;25/11/2024;$ 365.672,01;;
AF481OU;149;24/10/2024;30.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 30.000 KM ;RENAULT - LOMAS;0045-00002276;25/11/2024;$ 166.040,00;;
AG059DJ;150;24/10/2024;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002273;25/11/2024;$ 365.672,01;;
AF215FO;151;21/10/2024;120.000;SERVICIO;REPARACION SINIESTRO 738421;RENAULT - LOMAS;0019-00002665;25/11/2024;$ 480.000,01;;
AG366YT;152;18/10/2024;60.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0017-00004037;25/11/2024;$ 573.676,02;;
AF333BU;153;17/10/2024;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0017-00004025;25/11/2024;$ 365.671,99;;
AF481PB;154;8/10/2024;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002280;25/11/2024;$ 365.672,01;;
AF757AT;155;7/10/2024;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002279;25/11/2024;$ 573.676,00;;
AG059DH;156;7/10/2024;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002278;25/11/2024;$ 365.671,99;;
AF757AU;157;1/10/2024;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002277;25/11/2024;$ 365.671,99;;
AG705QQ;158;30/9/2024;10.000;SERVICIO;REPARACION SINIESTRO 737598;RENAULT - LOMAS;0019-00002662;21/11/2024;$ 480.000,01;;
AG315HB;159;30/9/2024;20.000;REPARACION;REPARACION SINIESTRO 737703;RENAULT - LOMAS;0019-00002661;21/11/2024;$ 480.000,02;;
AF452DA;160;26/9/2024;100.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002230;21/11/2024;$ 350.948,01;;
AF857HF;161;20/9/2024;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002226;15/4/2025;$ 350.727,42;;
AG445AI;162;12/9/2024;20.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 20.000 KM ;RENAULT - LOMAS;0045-00002203;21/11/2024;$ 350.947,99;;
AG315HD;163;3/9/2024;20.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 20.000 KM ;RENAULT - LOMAS;0045-00002190;14/10/2024;$ 350.947,99;;
AF270OW;164;2/9/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002189;14/10/2024;$ 258.196,46;;
AF333BW;165;27/8/2024;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002187;20/9/2024;$ 249.372,00;;
AF608ZC;166;26/8/2024;20.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 20.000 KM ;RENAULT - LOMAS;0045-00002185;20/9/2024;$ 158.312,02;;
AG315HG;167;23/8/2024;20.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 20.000 KM ;RENAULT - LOMAS;0045-00002177;20/9/2024;$ 350.948,02;;
AG059DH;168;22/8/2024;76.888;SERVICIO;SE LE REALIZO CAMBIO DEL GUARDABARRO DEL DERECHO;RENAULT - LOMAS;0019-00002634;21/11/2024;$ 50.000,00;;
AG278OY;169;22/8/2024;60.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002176;20/9/2024;$ 565.156,01;;
AG366YT;170;21/8/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002172;20/9/2024;$ 350.948,02;;
AF481OQ;171;21/8/2024;70.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 70.000 KM ;RENAULT - LOMAS;0045-00002171;20/9/2024;$ 158.312,19;;
AE937QP;172;20/8/2024;150.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 150.000 KM ;JAVIER ACUÑA;;;;;
NOU018;173;13/8/2024;;SERVICIO;;;;;;;
AG196ZQ;174;13/8/2024;49.571;REPARACION;REPARACION SINIESTRO 735027;RENAULT - LOMAS;0019-00002656;21/11/2024;$ 480.000,10;;
AF215FO;175;13/8/2024;120.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002179;20/9/2024;$ 565.156,16;;
AG012UT;176;13/8/2024;20.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 20.000 KM ;RENAULT - LOMAS;0045-00002180;20/9/2024;$ 350.948,02;;
AF333BT;177;7/8/2024;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002144;20/9/2024;$ 248.616,01;;
AF481PH;178;7/8/2024;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002136;20/9/2024;$ 565.156,16;;
AF421HY;179;7/8/2024;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002143;20/9/2024;$ 565.147,20;;
AF571RX;180;1/8/2024;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002145;20/9/2024;$ 338.980,00;;
AF571RW;181;31/7/2024;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002125;20/9/2024;$ 338.980,00;;
AF237KR;182;24/7/2024;30.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 30.000 KM ;RENAULT - LOMAS;0045-00002127;20/9/2024;$ 145.840,02;;
AF421HL;183;23/7/2024;50.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 50.000 KM ;RENAULT - LOMAS;0045-00002126;20/9/2024;$ 145.840,02;;
AF333BS;184;17/7/2024;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00001719;;$ 287.376,00;;
AG126UE;185;14/7/2024;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002091;;$ 538.951,99;;
AG366YU;186;12/7/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002090;;$ 333.715,99;;
AG059DJ;187;11/7/2024;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002085;;$ 333.715,99;;
AG315HB;188;1/7/2024;20.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 20.000 KM ;RENAULT - LOMAS;0045-00002065;8/8/2024;$ 333.716,02;;
AF174KK;189;27/6/2024;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002066;8/8/2024;$ 333.716,02;;
AF047UR;190;25/6/2024;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002049;8/8/2024;$ 549.139,99;;
AG059DG;191;25/6/2024;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002050;8/8/2024;$ 549.139,99;;
AE937QN;192;25/6/2024;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;JAVIER ACUÑA;;;;;
AG366YT;193;24/6/2024;20.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 20.000 KM ;RENAULT - LOMAS;0045-00002037;8/8/2024;$ 347.200,18;;
AF481OR;194;4/6/2024;30.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 30.000 KM ;RENAULT - LOMAS;0045-00002048;8/8/2024;$ 143.439,99;;
AF757AW;195;4/6/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00001998;4/7/2024;$ 347.120,03;;
AF757AW;196;4/6/2024;40.000;SERVICIO;SE LE REALIZO CAMBIO DEL GUARDABARRO DEL DERECHO;RENAULT - LOMAS;0019-00002606;4/7/2024;$ 480.000,02;;
AF481OU;197;23/5/2024;20.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 20.000 KM ;RENAULT - LOMAS;0045-00001968;11/6/2024;$ 134.560,18;;
AG278OY;198;17/5/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00001972;4/7/2024;$ 423.724,99;;
AF333BT;199;16/5/2024;50.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 50.000 KM ;RENAULT - LOMAS;0045-00001987;4/7/2024;$ 134.560,18;;
AF481PG;200;16/5/2024;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00001954;11/6/2024;$ 535.979,99;;
AF270OW;201;16/5/2024;30.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 30.000 KM ;RENAULT - LOMAS;0045-00001955;11/6/2024;$ 134.560,01;;
AF481OQ;202;15/5/2024;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00001956;11/6/2024;$ 278.576,00;;
AF571RX;203;3/5/2024;80.000;SERVICIO;SE LE REALIZO REPARACION DEL PORTON TRASERO ;RENAULT - LOMAS;0019-00002580;4/7/2024;$ 350.000,00;;
AF333BW;204;25/4/2024;40.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00001917;11/6/2024;$ 247.700,00;;
AF305MA;205;17/4/2024;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00001906;11/6/2024;$ 616.207,99;;
AF047UW;206;15/4/2024;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00001907;11/6/2024;$ 616.207,99;;
AG196ZS;207;15/4/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00001897;11/6/2024;$ 419.208,00;;
AF757AS;208;12/4/2024;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00001892;11/6/2024;$ 616.207,99;;
MNF900;209;10/4/2024;161.351;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 161.351 KM ;JAVIER ACUÑA;;;;;
AF757AZ;210;11/4/2024;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00001891;11/6/2024;$ 419.207,98;;
AG757AT;211;10/4/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00001893;11/6/2024;$ 419.207,98;;
AG012UV;212;10/4/2024;20.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 20.000 KM ;RENAULT - LOMAS;0045-00001895;11/6/2024;$ 419.208,00;;
AG366YU;213;9/4/2024;20.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 20.000 KM ;RENAULT - LOMAS;0045-00001905;11/6/2024;$ 419.207,98;;
AE937QP;214;8/4/2024;125.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 125.000 KM ;JAVIER ACUÑA;;;;;
AF047UQ;215;4/4/2024;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00001929;11/6/2024;$ 419.208,00;;
AF270OX;216;3/4/2024;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00001873;11/6/2024;$ 247.772,00;;
