PATENTE;MOVIL Nº;CHASIS Nº;FECHA;MOTIVO;QUIEN INTERVINO
AG278OY;92;8A1D23009RL754392;5/4/2025;Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 88243.;JAVIER ACUÑA
AF333BU;59;8A1D23002NL225375;5/4/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG196ZQ;88;8A1D2300XRL705024;5/4/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 85970.;JAVIER ACUÑA
AG315HG;96;8A1D23007RL754391;7/4/2025;Se le reemplazo la batería ya que la que tenía nos servía más quedando operativo a los KM 68697.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;7/4/2025;Se le cambio lámpara de alta y baja lado izquierdo y Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 153769.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;7/4/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF215FN;49;8A1D23009NL137231;7/4/2025;ya reparado le reemplazaron el bulbo de aceite quedando operativo.;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;9/4/2025;Se le reemplazo las pastillas de frenos quedando operativo a los KM 80635.;JAVIER ACUÑA
AG366YT ;97;8A1D23000RL715206;9/4/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG445AI;99;8A1D23000RL746035;9/4/2025;Se le cambio lámpara de giro delantero lado izquierdo.;JAVIER ACUÑA
AG126UB;84;8A1D23003RL643370;9/4/2025;se le reemplazo la rueda de auxilio quedando operativo.;JAVIER ACUÑA
AG278OX;91;8A1D23008RL750558;9/4/2025;Se le cambio lámpara de alta y baja lado izquierdo;JAVIER ACUÑA
AG012UT;79;8A1D23005PL613526;9/4/2025;Se le realizó cambio de pastillas de frenos y Se le cambio las escobillas limpiaparabrisas quedando operativo a los KM 43055.;JAVIER ACUÑA
AG012UV;80;8A1D23000PL613529;9/4/2025;Se le reemplazo las escobillas limpiaparabrisas quedando operativo a los KM 38883.;JAVIER ACUÑA
AF047UQ;42;8A1D23007NL017668;10/4/2025;Se le reemplazo ruleman y masa delantera lado derecho quedando operativo a los KM 165259.;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;10/4/2025;Se le cambio lámpara de alta y baja lado derecho y Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 85393.;JAVIER ACUÑA
AF047UIW;44;8A1D23008NL021583;10/4/2025;Se le reparo el alternador quedando operativo a los KM 154239 el mismo ya se encuentra en dicho Servicio.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;10/4/2025;Se le reemplazo el criquet Se le dejó un criquet botella y se le retiró el criquet tijera que quedó trabado a los KM 119851.;JAVIER ACUÑA
AF305MA;55;8A1D23000NL154723;10/4/2025;Se le agrego 2 litros de aceite quedando operativo.;JAVIER ACUÑA
AG366YU;98;8A1D2300XRL750674;12/4/2025;se le cambio lámpara de alta y baja lado izquierdo, Se le agrego líquido hidráulico y líquido de freno.;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;12/4/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;12/4/2025;Se le realizó cambio de ruleman y masa delantera de ambos lados, Se le reemplazo los amortiguadores delanteros y Se le cambio mordaza de frenos lados izquierdo quedando operativo a los KM 154485.;JAVIER ACUÑA
AG278OX;91;8A1D23008RL750558;12/4/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;12/4/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;15/4/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 78801.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;15/4/2025;Se le reemplazo las pastillas de frenos quedando operativo a los KM 121210.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;15/4/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF047UX;45;8A1D23009NL017669;15/4/2025;Se le colocó 2 cubiertas nuevas delanteras quedando operativo a los KM 108736.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;16/4/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;16/4/2025;Se le reparo el alternador quedando operativo a los KM 156096.;JAVIER ACUÑA
AF305MB;56;8A1D23005NL154723;17/4/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 135321.;JAVIER ACUÑA
AG315HB;94;8A1D23003RL750581;17/4/2025;Se le cambio lámparas de posición delantera de ambos lados y lámpara trasera de posición y stop;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;17/4/2025;Se le reemplazo el criquet botella ya que el que tenía dejó de funcionar quedando operativo a los KM 155764.;JAVIER ACUÑA
AF215FN;49;8A1D23009NL137231;18/4/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 100896.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;18/4/2025;Se le cambio lámparas de posición y stop de ambos lados quedando operativo.;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;18/4/2025;Se le cambio lámparas de posición delantera de ambos lados y lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF757AZ;77;8A1D23001PL387789;19/4/2025;Se le agrego 1 litro y medio de aceite quedando operativo.;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;19/4/2025;Se le reemplazo el barral balisas ya que el que tenía no funcionaba quedando operativo a los KM 163187.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;19/4/2025;Se le agrego 1 litro y medio de aceite quedando operativo.;JAVIER ACUÑA
AF481PB;67;8A1D23003PL269050;19/4/2025;Se le reemplazo ruleman y masa delantera lado derecho y se le cambio el botón de encendido de barral balisas quedando operativo a los KM 134061.;JAVIER ACUÑA
AB934RE;19;8A1FC1315JL042622;19/4/2025;Se le reemplazo los amortiguadores delanteros quedando operativo a los KM 154669.;JAVIER ACUÑA
AG278OX;91;8A1D23008RL750558;20/4/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 82993.;JAVIER ACUÑA
AF757AZ;77;8A1D23001PL387789;23/4/2025;Se le reparo el barral balisas y Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 115182.;JAVIER ACUÑA
AE937QW;40;8A1D23001NL017603;23/4/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 96361;JAVIER ACUÑA
AF215FN;49;8A1D23009NL137231;23/4/2025;Se le realizó cambio de homocinética delantera lado derecho y Se le cambio los amortiguadores delanteros quedando operativo a los KM 101077.;JAVIER ACUÑA
AB934RE;19;8A1FC1315JL042622;24/4/2025;Se le realizó cambio de filtros y aceite, Se le reemplazo las manijas levanta vidrio y Se le instalo un Stereo quedando operativo a los KM 154743.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;26/4/2025;Se le cambio lámpara de giro delantero lado izquierdo.;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;26/4/2025;Se le cambio precap de dirección lado derecho y Se le reemplazo las pastillas de frenos quedando operativo a los KM 121274.;JAVIER ACUÑA
AF608ZD;74;8A1D23009PL291540;28/4/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 127900.;JAVIER ACUÑA
AF757AU;76;8A1D23004PL388032;28/4/2025;Se le cambio lámpara de alta y baja lado izquierdo;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;28/4/2025;Se le realizó reemplazo de la homocinética delantera lado izquierdo Quedando operativo a los KM 121101.;JAVIER ACUÑA
AG366YU;98;8A1D2300XRL750674;30/4/2025;Se le reemplazo las pastillas de frenos quedando operativo a los KM 80278.;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;30/4/2025;Se le realizó cambio de ruleman y masa delantera lado derecho y Se le reemplazo el fuelle de la homocinética del mismo lado quedando operativo a los KM 73905.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;30/4/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG366YT;97;8A1D23000RL715206;30/4/2025;Se le cambio lámparas de alta y baja de ambos lados.;JAVIER ACUÑA
AG126UB;84;8A1D23003RL643370;1/5/2025;Se le reemplazo las pastillas de frenos y Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 80982.;JAVIER ACUÑA
AD503HV;24;8A1FC1315JL124913;1/5/2025;Se le realizó cambio del embrague completo , y cable de embrague ,Se le reemplazo las parrillas de suspensión delantera y bujes de barra estabilizadora, Se le cambio junta homocinética delantera lado izquierdo y Se le realizó cambio de filtros y aceite quedando operativo a los KM 148223.;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750674;2/5/2025;Se le cambio el flexible de frenos lado derecho quedando operativo a los KM 74347.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;2/5/2005;Se le reemplazo ruleman y masa delantera lado izquierdo y Se le cambio las pastillas de frenos quedando operativo a los KM 157695.;JAVIER ACUÑA
AA909VM;16;93Y9SR5A6HJ634085;3/5/2025;Se le realizó cambio de distribución con bomba de agua y Se le cambio filtros y aceite quedando operativo a los KM 115105.;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;3/5/2025;Se le reemplazo las pastillas de frenos y se le cambio lámpara de alta y baja lado derecho quedando operativo a los KM 156123;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;3/5/2025;Se le cambio lámparas de alta y baja de ambos lados.;JAVIER ACUÑA
AF451DA;64;8A1D23002PL242132;6/5/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;6/5/2025;Se le reemplazo las pastillas de frenos y Se le cambio lámpara de alta y baja lado derecho quedando operativo a los KM 161579.;JAVIER ACUÑA
AF215FO;50;8A1D23006NL137221;7/5/2025;Se le reemplazo las masas y ruleman delantero de ambos lados, Se le cambio los amortiguadores delanteros y Se le reemplazo las pastillas de frenos quedando operativo a los KM 132858.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;7/5/2025;Se le realizó cambio de masa y ruleman delantero lado derecho quedando operativo a los KM 157824.;JAVIER ACUÑA
AG315HB;94;8A1D23003RL750581;7/5/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF481PB;67;8A1D23003PL269050;9/5/2025;Se le reemplazo ruleman y masa delantera lado izquierdo, Se le cambio los amortiguadores delanteros, Se le cambio las pastillas de frenos y Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 132632.;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;9/5/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;9/5/2025;Se le reemplazo el alternador quedando operativo a los KM 122200.;JAVIER ACUÑA
AF047UX;45;8A1D23009NL017669;9/5/2025;Se le reemplazo el alternador y Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 114779.;JAVIER ACUÑA
AF215FO;50;8A1D23006NL137221;12/5/2025;Se le reemplazo el alternador y Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 133159.;JAVIER ACUÑA
AF608ZD;74;8A1D23009PL291540;12/5/2025;Se le cambio ruleman y masa delantera lado izquierdo quedando operativo a los KM 131822.;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;12/5/2025;Se le cambio lámparas de alta y baja de ambos lados.;JAVIER ACUÑA
AG445AI;99;8A1D23000RL746035;12/5/2025;Se le colocó las 4 cubiertas nuevas quedando operativo a los KM 94538.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;12/5/2025;Se le cambio lámpara de giro delantero lado izquierdo.;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;12/5/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 77187.;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;12/5/2025;Se le cambio lámpara de alta y baja lado izquierdo quedando operativo.;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;12/5/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 197860.;JAVIER ACUÑA
AG366YU;98;8A1D2300XRL750674;12/5/2025;Se le realizó cambio de parrillas suspensión inferior y superior , Se le cambio el porta masa , Se le reemplazo el ruleman y masa delantera,;JAVIER ACUÑA
AG366YU;98;8A1D2300XRL750674;12/5/2025;Se le cambio el precap y extremo de dirección , se le reemplazo la vieleta barra estabilizadora, Se le reemplazo la cubierta y llanta delantera todo del lado delantero lado izquierdo y Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 81073.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;12/5/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF047UX;45;8A1D23009NL017669;12/5/2025;Se le reemplazo el GPS y Se le agrego 1 litro de aceite quedando operativo.;JAVIER ACUÑA
AG315HB;94;8A1D23003RL750581;12/5/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 95713.;JAVIER ACUÑA
AG196ZR;89;8A1D23004RL705035;13/5/2025;Se le reemplazo la óptica trasera lado izquierdo. Quedando operativo a los KM 72975.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;13/5/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF215FN;49;8A1D23009NL137231;13/5/2025;Se le cambio lámpara de giro delantero lado izquierdo.;JAVIER ACUÑA
AF571RX;70;8A1D23008PL269156;15/5/2025;Se le realizó cambio de masa y ruleman delantero lado derecho, Se le reemplazo los amortiguadores delanteros , Se le cambio las pastillas de frenos y Se le cambio lámparas de posición delantera de ambos lados quedando operativo a los KM 130319.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;16/5/2025;Se le cambio lámpara de giro delantero lado izquierdo.;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;16/5/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG196ZQ;88;8A1D2300XRL705024;16/5/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
MVE291;5;8A1CB2U01DL736928;19/5/2025;Se le reemplazo el alternador quedando operativo a los KM 204213.;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;19/5/2025;Se le agrego 2 litros y medio de aceite.;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;19/5/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 86469.;JAVIER ACUÑA
AF3333BV;60;8A1D23002PL234354;19/5/2025;Se le realizó cambio de masa y ruleman delantero de ambos lados, Se le reemplazo los amortiguadores delanteros y Se le cambio las pastillas de frenos quedando operativo a los KM 152900.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;19/5/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;19/5/2025;Se le realizó cambio de masa y ruleman delantero de ambos lados y Se le reemplazo las pastillas de frenos quedando operativo a los KM 157569.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;19/5/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 124520.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;20/5/2025;Se le realizó retificacion de los frenos traseros y Se le colocó el alternador ya reparado quedando operativo a los KM 157932.;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;21/5/2025;Se le reemplazo ruleman y masa delantera lado izquierdo y Se le cambio las pastillas de frenos quedando operativo a los KM 78531.;JAVIER ACUÑA
AF608ZD;74;8A1D23009PL291540;21/5/2025;Se le cambio ruleman y masa delantera lado derecho y Se le reemplazo las pastillas de frenos quedando operativo a los KM 133263.;JAVIER ACUÑA
AF757AZ;77;8A1D23001PL387789;21/5/2025;Se le reparo el alternador cambiando el regulador de voltaje y Se le cambio las pastillas de frenos quedando operativo a los KM 117891.;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;21/5/2025;Se le reemplazo ruleman y masa delantera lado derecho y se le cambio las pastillas de frenos quedando operativo a los KM 123296.el mismo  ya se encuentra en dicho servicio.;JAVIER ACUÑA
AF215FO;50;8A1D23006NL137221;21/5/2025;Se le cambio el borne positivo y Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 133533.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;21/5/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;24/5/2025;Se le reemplazo ruleman y masa delantera lado derecho y Se le cambio semieje delantero completo lado izquierdo Se le reemplazo la butaca delantera lado izquierdo ya que la misma no corría quedando operativo a los KM 168287.;JAVIER ACUÑA
AB934RE;19;8A1FC1315JL042622;24/5/2025;Se le reparo el alternador reemplazando el regulador de voltaje quedando operativo a los KM 155839.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;24/5/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG196ZQ;88;8A1D2300XRL705024;24/5/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;24/5/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG196ZQ;88;8A1D2300XRL705024;24/5/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 93612.;JAVIER ACUÑA
AF481PB;67;8A1D23003PL269050;26/5/2025;Se le reemplazo el alternador ya que el que tenía no estaba cargando quedando operativo a los KM 138535.;JAVIER ACUÑA
AG278OX;91;8A1D23008RL750558;26/5/2025;Se le reemplazo el semieje completo delantero lado izquierdo, Se le cambio faro trasero lado derecho , Se le cambio lámparas de posición delantera de ambos lados y Se le reparo botón barral balisas quedando operativo a los KM 90975.;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;26/5/2025;Se le realizó cambio de parrilla suspensión delantera inferior lado izquierdo quedando operativo a los KM 158005;JAVIER ACUÑA
AG3666YU;98;8A1D2300XRL750674;27/5/2025;Se le cambio lámpara de alta y baja de ambos lados y Se le hace entrega de 1 matafuegos con vencimiento 05/2026 a los KM 83121.;JAVIER ACUÑA
AG445AI;100;8A1D23007RL768484;27/5/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;27/5/2025;Se le colocó 4 cubiertas nuevas quedando operativo a los KM 153001.;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;27/5/2025;Se le reemplazo ruleman y masa delantera lado izquierdo quedando operativo a los KM 88007;JAVIER ACUÑA
AG315HB;94;8A1D23003RL750581;27/5/2025;Se le reemplazo las pastillas de frenos y Se le cambio lámpara de posición y stop lado izquierdo quedando operativo a los KM 100724.;JAVIER ACUÑA
AF571RX;70;8A1D23008PL269156;29/5/2025;Se encuentra en el servicio La Providencia Se le realizó cambio de ruleman y masa delantera lado izquierdo y Se le reemplazo las pastillas de frenos quedando operativo a los KM 131730.;JAVIER ACUÑA
AF215FN;49;8A1D23009NL137231;29/5/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;29/5/2025;Se le reemplazo los amortiguadores delanteros quedando operativo a los KM 167995.;JAVIER ACUÑA
AF305MB;56;8A1D23005NL154723;31/5/2025;Se le reparo barral balisas y Se le agrego 2 litros de aceite quedando operativo.;JAVIER ACUÑA
AE870CP;34;93Y9SR5A3MJ801143;31/5/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 92929.;JAVIER ACUÑA
AF215FO;50;8A1D23006NL137221;31/5/2025;Se le reemplazo ruleman y masa delantera lado izquierdo , Se le cambio las pastillas de frenos,  Se le reparo luces de posición trasera y Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 135515.;JAVIER ACUÑA
AF215FN;49;8A1D23009NL137231;31/5/2025;Se le reemplazo el DVR y Se le acomodo la cámara quedando operativo.;JAVIER ACUÑA
MVE291;5;8A1CB2U01DL736928;31/5/2025;Se le realizó reemplazo ruleman de rueda delantera lado izquierdo y Se reparo comando de luces quedando operativo a los KM 205449.;JAVIER ACUÑA
AC515JH;21;8A1FC1315JL121988;2/6/2025;Se le realizó cambio de filtros y aceite a los KM 159975.;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;2/6/2025;Se le reemplazo el regulador de voltaje quedando operativo a los KM 158106.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;3/6/2025;Se le realizó cambio de parrillas inferior y superior de suspensión y porta masa  delantera lado izquierdo quedando operativo a los KM 158095.;JAVIER ACUÑA
AF421HL;62;8A15SRYE5PL270935;3/6/2025;Se le colocó 4 cubiertas nuevas quedando operativo a los KM 78007.;JAVIER ACUÑA
AG366YT;97;8A1D23000RL715206;3/6/2025;Se le cambio lámpara de alta y baja de ambos lados.;JAVIER ACUÑA
AG315HB;94;8A1D23003RL750581;3/6/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;3/6/2025;Se le cambio lámparas de alta y baja de ambos lados ;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;4/6/2025;Se le cambio lámpara H7 lado derecho , Se deja de back up 3 litros de aceite.;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;4/6/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;4/6/2025;Se le cambio lámpara de alta y baja lado izquierdo;JAVIER ACUÑA
AF571RX;70;8A1D23008PL269156;5/6/2025;Se le realizó retificacion de campanas y cintas  frenos traseros quedando operativo a los KM 132355.;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;5/6/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 201405;JAVIER ACUÑA
AF047UQ;42;8A1D23007NL017668;5/6/2025;Se le agrego 3 litros de aceite quedando operativo ;JAVIER ACUÑA
MVE291;5;8A1CB2U01DL736928;5/6/2025;Se le realizó cambio de filtros y aceite quedando operativo a los KM 205966.;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;5/6/2025;Se le reemplazo la bomba de dirección hidráulica quedando operativo a los KM 124791.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;7/6/2025;Se le reparo barral balisas y Se le cambio lámpara de alta y baja lado izquierdo quedando operativo a los KM 139919.;JAVIER ACUÑA
AG445AI;100;8A1D23007RL768484;7/6/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;7/6/2025;Se le reemplazo las pastillas de frenos, se le reparo el encendedor para la carga del celular ya que no funcionaba y Se le cambio lámpara trasera de posición y stop lado izquierdo quedando operativo a los KM 100186.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;7/6/2025;Se le cambio lámpara de alta y baja, Lámpara trasera de posición y stop ambas lámpara lado derecho.;JAVIER ACUÑA
