PATENTE;MOVIL Nº;CHASIS Nº;FECHA;MOTIVO;QUIEN INTERVINO
AC515JH;21;8A1FC1315JL121988;7/6/2025;Se le reemplazo los rodillos y correa Poly V , Se le cambio la batería ya que la que tenía no servía más quedando operativo a los KM 160294.;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;7/6/2025;Se le reemplazo el criquet Se le entregó un criquet botella ya que el que tenía no servía más.;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;9/6/2025;Se le reemplazo homocinética y ruleman y masa delantera lado derecho quedando operativo a los KM 83177.;JAVIER ACUÑA
AG366YU;98;8A1D2300XRL750674;9/6/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 84584.;JAVIER ACUÑA
AF215FN;49;8A1D23009NL137231;9/6/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF571RX;70;8A1D23008PL269156;9/6/2025;Se le cambio las pastillas de frenos quedando operativo a los KM 132604.;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;10/6/2025;Se le retificaron campanas y cintas frenos traseros quedando operativo a los KM 158533.;JAVIER ACUÑA
AA909VN;15;93Y9SR5A6HJ632965;10/6/2025;Se le reemplazo el comando de luces y se le activo las cámaras y DVR quedando operativo a los KM 83882.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;10/6/2025;Se le reemplazo ruleman y masa delantera lado izquierdo y Se le cambio las pastillas de frenos quedando operativo a los KM 158762.;JAVIER ACUÑA
AF757AU;76;8A1D23004PL388032;12/6/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM173481.;JAVIER ACUÑA
AA909VM;16;93Y9SR5A6HJ634085;12/6/2025;Se le colocó 2 cubiertas nuevas delanteras y Se le cambio la batería ya que la que tenía no servía más quedando operativo a los KM 116588.;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;12/6/2025;Se le reemplazo tensor y correa Poly V, Se le realizó cambio de filtros y aceite, Se le colocó 2 cubiertas traseras quedando operativo a los KM 202225.;JAVIER ACUÑA
AF421HL;62;8A15SRYE5PL270935;12/6/2025;Se le realizó alineación y balanceo quedando operativo a los KM 78702.;JAVIER ACUÑA
AE870CQ;35;93Y9SR5A3MJ771069;13/6/2025;Se le reemplazo el radiador de agua quedando operativo a los KM 78694.;JAVIER ACUÑA
AF215FO;50;8A1D23006NL137221;16/6/2025;Se le cambio ruleman y masa delantera lado derecho quedando operativo a los KM 136896.;JAVIER ACUÑA
AG445AJ;100;8A1D23007RL768484;16/6/2025;Se le colocó las 4 cubiertas nuevas y Se le cambio lámpara de alta y baja lado derecho quedando operativo a los KM 40700.;JAVIER ACUÑA
AF305MA;55;8A1D23000NL154723;16/6/2025;Se le agrego 4 litros de aceite quedando operativo a los KM 163057.;JAVIER ACUÑA
AF757AZ;77;8A1D23001PL387789;16/6/2025;Se le reemplazo ruleman y masa delantera lado derecho quedando operativo a los KM 120480.;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;16/6/2025;Se le cambio flexible de frenos delantero lado derecho quedando operativo a los KM 170906.;JAVIER ACUÑA
AG366YT;97;8A1D23000RL715206;16/6/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;16/6/2025;Se le reemplazo ruleman y masa delantera lado izquierdo, Se le cambio las pastillas de frenos y Se regulo el freno de mano quedando operativo a los KM 170810.;JAVIER ACUÑA
AF757AU;76;8A1D23004PL388032;16/6/2025;Se le cambio lámpara de alta y baja lado izquierdo y Se le cambio lámpara de posición y stop trasero lado derecho quedando operativo.;JAVIER ACUÑA
AF571RX;70;8A1D23008PL269156;16/6/2025;Se le reemplazo ruleman y masa delantera lado derecho quedando operativo a los KM 133392 , y Se deja de bakap 3 litros de aceite, 2 lámparas H4 y 2 lámparas H7 .;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;16/6/2025;Se le cambio la batería ya que la que tenía no servía más quedando operativo a los KM 125162.;JAVIER ACUÑA
AG012UV;80;8A1D23000PL613529;16/6/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AC515JH;21;8A1FC1315JL121988;17/6/2025;Se le reemplazo las 4 bujías quedando operativo a los KM 161190.;JAVIER ACUÑA
AF481PG;68;8A1D23009PL242158;18/6/2025;Se le colocó barral balisas y Se le instalo DVR y cámaras quedando operativo a los KM 78639.;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;20/6/2025;Se le reemplazo las pastillas de frenos quedando operativo a los KM 121054.;JAVIER ACUÑA
NXI181;10;8A1CB2U01EL282207;20/6/2025;Se le reemplazo el electroventilador, Se le cambio el termostato y Se le colocó una batería quedando operativo a los KM 198891, dicho móvil Se utilizará para el traslado de perforación.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;20/6/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;20/6/2025;Se le reemplazo la DVR quedando operativo las cámaras.;JAVIER ACUÑA
AF421HL;62;8A15SRYE5PL270935;20/6/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 79271.;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;20/6/2025;Se le cambio lámpara de alta y baja lado izquierdo y Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 126070;JAVIER ACUÑA
AG445AJ;100;8A1D23007RL768484;20/6/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF757AU;76;8A1D23004PL388032;20/6/2025;Se le cambio lámpara de alta y baja lado izquierdo y Se le reparo el alternador quedando operativo a los KM 175973.;JAVIER ACUÑA
AF305MB;56;8A1D23005NL154723;23/6/2025;Se le reparo el alternador quedando operativo a los KM 136155.;JAVIER ACUÑA
AF044UW;44;8A1D23008NL021583;23/6/2025;Se le reemplazo ruleman y masa delantera lado derecho quedando operativo a los KM 159191;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;23/6/2025;Se le cambio ruleman y masa delantera lado izquierdo quedando operativo a los KM 86406.;JAVIER ACUÑA
AF047UQ;42;8A1D23007NL017668;23/6/2025;Se le realizó cambio de ruleman y masa delantera lado derecho, Se le retificaron campanas y cintas con cilindros de frenos traseros y se le reemplazo las pastillas de frenos quedando operativo a los KM 170642.;JAVIER ACUÑA
AF215FN;49;8A1D23009NL137231;23/6/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;23/6/2025;Se le reemplazo ruleman y masa delantera lado derecho y Se le cambio lámpara de alta y baja lado derecho quedando operativo a los KM 126344;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;23/6/2025;Se le reparo el alternador y Se le cambio la batería ya que la que tenía no servía más quedando operativo a los KM 171577. Dichos móviles Se encuentra en el servicio Sitio 123 Fiorito;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;23/6/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;23/6/2025;Se le retificaron campanas y cintas y Se le cambio los cilindros de frenos traseros quedando operativo a los KM 131624.;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;23/6/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG315HB;94;8A1D23003RL750581;23/6/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;25/6/2025;Se le reemplazo las 2 crusetas del Cardan 4x4 quedando operativo a los KM 159527.;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;25/6/2025;Se le cambio fuelle caja dirección Quedando operativo a los KM 126600.;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;25/6/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;25/6/2025;Se le agrego 2 litros de aceite, Se le cambio lámpara de alta y baja lado derecho y Se le regularon los frenos quedando operativo a los KM 131944.;JAVIER ACUÑA
AF481PB;67;8A1D23003PL269050;25/6/2025;Se le retificaron campanas y cintas, Se le cambio los cilindros de frenos traseros , Se le reemplazo ruleman y masa delantera de ambos lados y Se le cambio las pastillas de frenos quedando operativo a los KM 141042.;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;25/6/2025;Se le reemplazo ruleman y masa delantera lado derecho quedando operativo a los KM 163212.;JAVIER ACUÑA
AG126UE;86;8A1D23000RL643777;27/6/2025;Se le reemplazo ruleman y masa delantera lado derecho y Se le regulo frenos de mano quedando operativo a los KM 92386.;JAVIER ACUÑA
AF571RX;70;8A1D23008PL269156;27/6/2025;Se le realizó cambio de ruleman y masa delantera lado izquierdo y Se le reemplazo las pastillas de frenos quedando operativo a los KM 134478.;JAVIER ACUÑA
AE870CP;34;93Y9SR5A3MJ801143;28/6/2025;Se le reemplazo el contactor de la llave , Se le cambio las 4 bujías y Se le realizó limpieza cuerpo aceleración quedando operativo a los KM 94366.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;28/6/2025;Se le entregó un criquet botella ya que el que tenía no servía más a los KM 176128.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;28/6/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG126ZP;87;8A1D23009RL678592;28/6/2025;Se le reemplazo las pastillas de frenos quedando operativo a los KM 94419.;JAVIER ACUÑA
AG455AI;99;8A1D23000RL746035;28/6/2025;Se le cambio lámpara de alta y baja lado izquierdo y Se le cambio lámpara de giro delantero lado izquierdo.;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;28/6/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG278OZ;91;8A1D23008RL750558;28/6/2025;Se le agrego 1 litro y medio de aceite.;JAVIER ACUÑA
AA909VM;16;93Y9SR5A6HJ634085;28/6/2025;Se le cambio las vieleta y bujes de barra estabilizadora quedando operativo a los KM 117289.;JAVIER ACUÑA
AG315HB;94;8A1D23003RL750581;28/6/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AC515JH;21;8A1FC1315JL121988;28/6/2025;Se le reemplazo las 4 bobinas de encendido quedando operativo a los KM 162191.;JAVIER ACUÑA
AF215FO;50;8A1D23006NL137221;28/6/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;28/6/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;2/7/2025;Se le realizó retificacion de campanas y cintas frenos traseros quedando operativo a los KM 89592.;JAVIER ACUÑA
AG445AJ;100;8A1D23007RL768484;2/7/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;2/7/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;2/7/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;3/7/2025;Se le reemplazo semieje completo delantero lado derecho y Se le cambio las pastillas de frenos quedando operativo a los KM 160141.;JAVIER ACUÑA
AA909VN;15;93Y9SR5A6HJ632965;3/7/2025;Se le reemplazo la rampa de inyección de combustible quedando operativo a los KM 85990.;JAVIER ACUÑA
AF757AU;76;8A1D23004PL388032;3/7/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;5/7/2025;Se le entregó un criquet botella ya que el que tenía no servía más quedando operativo a los KM 108044.;JAVIER ACUÑA
AF270OX;54;8A15SRYE5NL153755;5/7/2025;Se le reemplazo el corta corriente quedando operativo a los KM 63578.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;5/7/2025;Se le cambio lámpara de alta y baja lado izquierdo;JAVIER ACUÑA
AG315HB;94;8A1D23003RL750581;5/7/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG705QQ;103;8A1D23001RL768484;5/7/2025;Se le instalo barral balisas, Se le colocó calcos en puertas y capot y Se le instalo cámaras y DVR quedando operativo.;JAVIER ACUÑA
AF571RX;70;8A1D23008PL269156;5/7/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 134735.;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;5/7/2025;Se le reemplazo ruleman y masa delantera lado izquierdo quedando operativo a los KM 164114.;JAVIER ACUÑA
AF571RX;70;8A1D23008PL269156;5/7/2025;Se le reemplazo regulador voltaje del alternador quedando operativo a los KM 134979.;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;5/7/2025;Se cambió homocinética delantera lado derecho , Se le reemplazo las pastillas de frenos y Se le cambio vieleta barra estabilizadora lado izquierdo quedando operativo a los KM 159881.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;8/7/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG445AI;99;8A1D23000RL746035;10/7/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 113934.;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;10/7/2025;Se le cambio ruleman y masa delantera lado izquierdo quedando operativo a los KM 173352.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;11/7/2025;Se le reemplazo barral balisas quedando operativo ;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;12/7/2025;Se le retificaron campanas y cintas frenos traseros quedando operativo a los KM 178653.;JAVIER ACUÑA
AG126UB;84;8A1D23003RL643370;12/7/2025;Se le colocó calcos en capot y Se le instalo barral balisas quedando operativo a los KM 90998.;JAVIER ACUÑA
MVE291;5;8A1CB2U01DL736928;14/7/2025;Se le reemplazo tambor de llave puerta izquierda quedando operativo a los KM 208930.;JAVIER ACUÑA
AG445AJ;100;8A1D23007RL768484;14/7/2025;Se le cambio las pastillas de frenos quedando operativo a los KM 50094.;JAVIER ACUÑA
AF047UW;44;8A1D23008NL021583;14/7/2025;Se le reemplazo ruleman y masa delantera lado izquierdo y Se le cambio extremo de dirección lado izquierdo quedando operativo a los KM 161417.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;16/7/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;16/7/2025;Se le cambio lámpara de posición y stop lado izquierdo.;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;16/7/2025;Se le reemplazo ruleman y masa delantera lado derecho quedando operativo a los KM 93402.;JAVIER ACUÑA
NSA764;8;8A1CB2U01EL256303;17/7/2025;Se le reemplazo el termostato y se le colocó la correa del aire acondicionado quedando operativo a los KM 202680.;JAVIER ACUÑA
AF215FO;50;8A1D23006NL137221;17/7/2025;Se le cambio ruleman y masa delantera lado izquierdo quedando operativo a los KM 141758.;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;17/7/2025;Se le reemplazo semieje completo delantero lado izquierdo y se le cambio ruleman y masa delantera lado izquierdo quedando operativo a los KM 93710.;JAVIER ACUÑA
AF047UQ;42;8A1D23007NL017668;19/7/2025;Se le reemplazo ruleman y masa delantera lado derecho quedando operativo a los KM 175530.;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;19/7/2025;Se le reparo levanta vidrio puerta delantera lado derecho quedando operativo a los KM117874.;JAVIER ACUÑA
AF333BU;59;8A1D23002NL225375;19/7/2025;Se le reemplazo homocinética delantera lado izquierdo, Se le cambio ruleman y masa delantera lado izquierdo y Se le remplazo mordaza de frenos quedando operativo a los KM 172533.;JAVIER ACUÑA
AG196ZQ;88;8A1D2300XRL705024;19/7/2025;Se le reparo la perdida de refrigerante quedando operativo a los KM 102014.;JAVIER ACUÑA
AG059DG;81;8A1D23003RL643272;19/7/2025;Se le reparo barral balisas y Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 140225.;JAVIER ACUÑA
AG445AJ;100;8A1D23007RL768484;19/7/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;19/7/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AG705QM;102;8A1D23003RL750631;19/7/2025;Se le colocó barral balisas, Se le instalo cámaras y DVR, Se le colocó calcos en puertas y capot quedando operativo a los KM 330.;JAVIER ACUÑA
AG196ZP;87;8A1D23009RL678592;19/7/2025;Se le colocó 2 cubiertas nuevas traseras quedando operativo a los KM 102058.;JAVIER ACUÑA
AF608ZD;74;8A1D23009PL291540;19/7/2025;Se le retificaron campanas y cintas , Se le reemplazo los cilindros frenos traseros quedando operativo a los KM 135403.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;22/7/2025;Se le realizó cambio de amortiguadores delanteros, Se le cambio ruleman y masa delantera lado izquierdo, Se le reemplazo parrillas suspensión inferior lado izquierdo y Se le reparo los frenos traseros quedando operativo a los KM 136523.;JAVIER ACUÑA
AF333BU;59;8A1D23002NL225375;22/7/2025;Se le agrego 2 litros de aceite.;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;22/7/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG059DG;83;8A1D23000RL637820;25/7/2025; Se le reemplazo la bomba de agua quedando operativo a los KM 128073.;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;25/7/2025;Se le realizó retificacion campanas y cintas frenos traseros quedando operativo a los KM 209011.;JAVIER ACUÑA
AE937QW;40;8A1D23001NL017603;26/7/2025;Se le agrego 2 litros de aceite.;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;26/7/2025;Se le cambio lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AG059DJ;82;8A1D23008RL637225;26/7/2025;Se le reemplazo regulador voltaje del alternador quedando operativo a los KM 180117.;JAVIER ACUÑA
AG366YU;98;8A1D2300XRL750674;26/7/2025;Se cambió lámpara de alta y baja lado izquierdo.;JAVIER ACUÑA
AF757AS;75;8A1D23004PL388029;26/7/2025;Se le reemplazo los espárragos y bulones rueda trasera izquierda quedando operativo a los KM 138399.;JAVIER ACUÑA
AG445AI;99;8A1D23000RL746035;26/7/2025;Se le cambio lámpara de alta y baja lado derecho;JAVIER ACUÑA
AF333BU;59;8A1D23002NL225375;29/7/2025;Se cambio la batería ya que la que tenía no servía más quedando operativo a los KM 173644.;JAVIER ACUÑA
AE937QP;38;8AP359A02NU160191;29/7/2025;Se le cambio el palabrisas.;JAVIER ACUÑA
AG315HD;95;8A1D2300XRL750576;29/7/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;29/7/2025;Se le reemplazo ruleman y masa delantera lado derecho y Se le cambio las pastillas de frenos quedando operativo a los KM 167023.;JAVIER ACUÑA
AG278OY;92;8A1D23009RL754392;29/7/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
AF333BU;59;8A1D23002NL225375;30/7/2025;Se cambio la batería ya que la que tenía no servía más quedando operativo a los KM 173644.;JAVIER ACUÑA
AF452DA;64;8A1D23002PL242132;30/7/2025;Se le agrego 2 litros de aceite .;JAVIER ACUÑA
AG315HB;94;8A1D23003RL750581;30/7/2025;Se le reparo barral balisas quedando operativo;JAVIER ACUÑA
AF857HF;78;8A1D23000PL387802;30/7/2025;Se le reemplazo ruleman y masa delantera lado derecho quedando operativo a los KM 182497.;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;30/7/2025;Se le cambio lámpara de alta y baja lado derecho.;JAVIER ACUÑA
MVE291;5;8A1CB2U01DL736928;31/7/2025;Se le realizó cambio de junta tapa de válvulas, Se le reemplaza el alternador, Se le cambio la butaca lado chófer y se le corrió puerta lado izquierdo quedando operativo a los KM 210068.;JAVIER ACUÑA
AG445AJ;100;8A1D23007RL768484;1/8/2025;Se le agrego 2 litros de aceite.;JAVIER ACUÑA
AF757AZ;77;8A1D23001PL387789;1/8/2025;Se le reemplazo lámparas de posición y stop trasero ambos lados.;JAVIER ACUÑA
AG278OZ;93;8A1D2300XRL750562;4/8/2025;Se le remplazo flexible de frenos delantero lado derecho y Se le cambio lámparas de posición y stop trasero ambos lados quedando operativo a los KM 116915.;JAVIER ACUÑA
AF481PB;67;8A1D23003PL269050;4/8/2025;Se le reemplazo ruleman y masa delantera lado izquierdo y Se le cambio manguera inferior radiador de agua por pedida de fluido quedando operativo a los KM 147486.;JAVIER ACUÑA
AF215FO;50;8A1D23006NL137221;5/8/2025;Se le reemplazo la Cruzeta del Cardan quedando operativo a los KM 144919.;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;6/8/2025;Se le retificaron campanas y cintas Se le remplazo los cilindros de frenos traseros quedando operativo a los KM 167911.;JAVIER ACUÑA
AA909VM;16;93Y9SR5A6HJ634085;6/8/2025;Se le colocó 2 cubiertas nuevas traseras y Se le reemplazo el vidrios espejo externo lado izquierdo quedando operativo a los KM 118288.;JAVIER ACUÑA
AE37QP;38;8AP359A02NU160191;6/8/2025;Se le realizó cambio de filtros y aceite quedando operativo a los KM 210798.;JAVIER ACUÑA
AF421HY;63;8A1D23008NL225249;6/8/2025;Se le cambio los espárragos rueda delantera lado derecho quedando operativo a los KM 132394.;JAVIER ACUÑA
AG126UB;86;8A1D23000RL643777;6/8/2025;Se le entregó un criquet botella ya que el que tenía de tijera no servía más quedando operativo a los KM 97128.;JAVIER ACUÑA
AF571RW;71;8A1D23002PL269167;8/8/2025;Se le cambio ruleman y masa delantera lado derecho y Se le reemplazo mordaza de frenos lado derecho quedando operativo a los KM 176560;JAVIER ACUÑA
AF333BS;57;8A1D23009NL192519;8/8/2025;Se le cambio regulador voltaje del alternador quedando operativo a los KM 121799.;JAVIER ACUÑA
AG059DH;83;8A1D23000RL637820;8/8/2025;Se le cambio la batería ya que la que tenía no servía más quedando operativo a los KM 130786.;JAVIER ACUÑA
AF481PH;69;8A1D23009PL269053;13/8/2025;Se le reemplazo la batería ya que la que tenía no servía más quedando operativo a los KM 160772;JAVIER ACUÑA
AF174KK;48;8A1D23001NL135408;14/8/2025;Se le cambia homocinética delantera lado caja derecho y homocinética delantera lado izquierdo, Se le cambio ruleman y masa delantera lado izquierdo, Se le reemplazo los amortiguadores delanteros, Se le cambio mordaza lado izquierdo y pastillas de freno quedando operativo a los KM 168157;JAVIER ACUÑA
AF333BU;59;8A1D23002NL225375;14/8/2025;Se le cambio ruleman y masa delantera lado izquierdo, Se le reemplazo los amortiguadores delanteros y se le cambio las pastillas de frenos quedando operativo a los KM 175440.;JAVIER ACUÑA
AF481PB;67;8A1D23003PL269050;15/8/2025;Se le reemplazo la Cruzeta del Cardan quedando operativo a los KM 148656.;JAVIER ACUÑA
AG278OX;91;8A1D23008RL750558;15/8/2025;Se le reemplazo ruleman y masa delantera lado derecho y Se le cambio los amortiguadores delanteros quedando operativo a los KM 108254;JAVIER ACUÑA
AF333BV;60;8A1D23002PL234354;15/8/2025; Se le reemplazo Cruzeta del Cardan quedando operativo a los KM 165753.;JAVIER ACUÑA
